"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"","","","","079","その他の開発技術者","079-01","窯業製品開発技術者","ガラス製品開発技術者、研削材開発技術者、セメント開発技術者、陶磁器開発技術者、ファインセラミックス製品開発技術者"
"","","","","","","079-99","他に分類されない開発技術者","原子力技術者（開発）、鉱山開発技術者、採鉱開発技術者、織布開発技術者、染色開発技術者、探鉱開発技術者、紡績開発技術者"
"","","08","製造技術者","081","食品製造技術者","081-01","食品製造技術者 ","缶詰製造技術者、食品冷凍技術者（開発技術者を除く）、醸造技術者（開発技術者を除く）、水産食品製造技術者、製糖技術者（開発技術者を除く）、製粉技術者（開発技術者を除く）、清涼飲料製造技術者、乳製品製造技術者"
"","","","","082","電気・電子・電気通信製造技術者（通信ネットワークを除く）","082-01","電気・電子・電気通信機器生産技術者","電気機器生産技術者、電子機器生産技術者、電気通信機器生産技術者"
"","","","","","","082-02","電気工事技術者","電気工事施工管理技術者、電気施設施工管理技術者"
"","","","","","","082-99","他に分類されない電気・電子・電気通信製造技術者（通信ネットワークを除く）","電気・電子機器製造技術者（生産技術者を除く）、電気通信機器製造技術者（生産技術者を除く）"
"","","","","083","機械製造技術者","083-01","機械生産技術者 ","原動機生産技術者、工作機械生産技術者、精密機械生産技術者"
"","","","","","","083-99","他に分類されない機械製造技術者","原動機製造技術者（生産技術者を除く）、工作機械製造技術者（生産技術者を除く）、精密機械製造技術者（生産技術者を除く）"
"","","","","084","自動車製造技術者","084-01","自動車生産技術者","自動車生産技術者"
"","","","","","","084-99","他に分類されない自動車製造技術者","自動車製造技術者（生産技術者を除く）"
"","","","","085","輸送用機器製造技術者（自動車を除く）","085-01","輸送用機器製造技術者（自動車を除く）","航空機製造技術者、船舶製造技術者、鉄道車両製造技術者"
"","","","","086","金属製錬・材料製造技術者","086-01","金属製錬・材料製造技術者","圧延技術者（開発技術者を除く）、鋳物技術者（開発技術者を除く）、金属製錬技術者（開発技術者を除く）、合金技術者（開発技術者を除く）、製鉄技術者（開発技術者を除く）、鍛造技術者（開発技術者を除く）、鋳造技術者（開発技術者を除く）、電気精錬技術者（開発技術者を除く）"
"","","","","087","化学品製造技術者","087-01","化学品生産技術者","医薬品生産技術者、化学繊維生産技術者、化学肥料生産技術者、化学薬品生産技術者、化粧品生産技術者、合成ゴム生産技術者、高分子化学製品生産技術者、バイオケミカル生産技術者、プラスチック製品生産技術者、無機化学製品生産技術者、有機化学製品生産技術者、油脂製品生産技術者"
"","","","","","","087-02","分析化学技術者","医薬品検査技術員、無機薬品分析検査技術員、有機薬品分析技術員"
"","","","","","","087-99","他に分類されない化学品製造技術者","医薬品製造技術者（生産技術者を除く）、化学繊維製造技術者（生産技術者を除く）、化学肥料製造技術者（生産技術者を除く）、化学薬品製造技術者（生産技術者を除く）、化粧品製造技術者（生産技術者を除く）、合成ゴム製造技術者（生産技術者を除く）、高分子化学製品製造技術者（生産技術者を除く）、プラスチック製品製造技術者（生産技術者を除く）、無機化学製品製造技術者（生産技術者を除く）、有機化学製品製造技術者（生産技術者を除く）、油脂製品製造技術者（生産技術者を除く）"
"","","","","089","その他の製造技術者","089-01","窯業製品製造技術者","ガラス製品製造技術者、研削材製造技術者、セメント製造技術者、ファインセラミックス製品製造技術者、陶磁器製造技術者"
"","","","","","","089-99","他に分類されない製造技術者","原子力技術者（開発技術者を除く）、鉱山技術者（開発技術者を除く）、織布技術者（開発技術者を除く）、染色技術者（開発技術者を除く）、紡績技術者（開発技術者を除く）"
"","","09","建築・土木・測量技術者","091","建築技術者","091-01","建築設計技術者","建築構造設計技術者、建築設計士、建築設備設計技術者"
"","","","","","","091-02","建築工事監督","建築工事現場監督、建築施工管理技術者"
"","","","","","","091-99","他に分類されない建築技術者","耐震診断士（建築士であるもの）、建物検査員（建築士であるもの）"
"","","","","092","土木技術者","092-01","土木設計技術者","港湾設計技術者、造園設計技術者、鉄道線路設計技術者、土木施設設計技術者"
"","","","","","","092-02","土木工事監督","土木工事現場監督、土木施工管理技術者"
"","","","","","","092-99","他に分類されない土木技術者","工事検査官（地方整備局）、土木工事検査員"
"","","","","093","測量技術者","093-01","測量士",""
"","","","","","","093-98","測量士補",""
"","","10","情報処理・通信技術者","101","システムコンサルタント","101-01","システムコンサルタント","ITコンサルタント"
"","","","","102","システム設計技術者","102-01","システム設計技術者","システムアーキテクト、システムアナリスト、社内システムエンジニア（主にシステムの設計に従事するもの）"
"","","","","103","情報処理プロジェクトマネージャ","103-01","情報処理プロジェクトマネージャ","プロジェクトマネージャ（アプリケーションソフトウェア開発）、プロジェクトマネージャ（システム開発）"
"","","","","104","ソフトウェア開発技術者","104-01","ソフトウェア開発技術者（WEB・オープン系）","WEB系ソフトウェア開発技術者、オープン系ソフトウェア開発技術者、コンテンツ開発技術者（モバイルサイト）"
"","","","","","","104-02","ソフトウェア開発技術者（組込・制御系）","組込系ソフトウェア開発技術者、制御系ソフトウェア開発技術者"
"","","","","","","104-03","ソフトウェア開発技術者（汎用機系）","汎用機系ソフトウェア開発技術者"
"","","","","","","104-04","プログラマー","コーダー、ソフトウェアプログラマー"
"","","","","","","104-99","他に分類されないソフトウェア開発技術者","ソフトウェアテスト技術者"
"","","","","105","システム運用管理者","105-01","システム運用管理者","サーバー管理者、システム管理者、社内システムエンジニア（主にシステムの運用に従事するもの）、情報セキュリティ技術者、データベース管理者、テクニカルサポート技術員"
"","","","","106","通信ネットワーク技術者","106-01","通信ネットワーク技術者","電気通信技術者、電気通信施設技術者、ネットワーク技術者"
"","","","","109","その他の情報処理・通信技術者","109-99","その他の情報処理・通信技術者",""
"","","11","その他の技術者","119","その他の技術者","119-01","労働安全衛生技術者","作業環境測定士、労働安全コンサルタント"
"","","","","","","119-02","環境衛生技術者","下水処理技術者、し尿処理施設技術者、廃棄物処理施設技術管理者、水処理施設管理技術者"
"","","","","","","119-99","他に分類されない技術者","宇宙開発技術者、地質調査技術員、ボイラー検査員、高圧ガス設備保安検査員"
"","","12","医師、歯科医師、獣医師、薬剤師","121","医師","121-01","医師","外科医、産婦人科医、精神科医、小児科医、内科医"
"","","","","122","歯科医師","122-01","歯科医師",""
"","","","","123","獣医師","123-01","獣医師","家畜診療所獣医師、小動物臨床獣医師、動物病院獣医師、と畜検査員"
"","","","","124","薬剤師","124-01","薬剤師（調剤）","調剤薬局薬剤師、薬剤師（病院調剤所）"
"","","","","","","124-02","薬剤師（医薬品販売）","医薬品販売員（薬剤師）"
"","","","","","","124-99","他に分類されない薬剤師","医薬品管理薬剤師（医薬品卸売業）、治験コーディネーター（CRC：薬剤師であるもの）"
"","","13","保健師、助産師、看護師","131","保健師","131-01","保健師","保健師長"
"","","","","132","助産師","132-01","助産師","助産師長"
"","","","","133","看護師、准看護師","133-01","看護師","看護師長、治験コーディネーター（CRC：看護師であるもの）、訪問看護師"
"","","","","","","133-02","准看護師",""
"","","14","医療技術者","141","診療放射線技師","141-01","診療放射線技師 ","診療エックス線技師、レントゲン技師（医療）、放射線技師（医療）"
"","","","","142","臨床工学技士","142-01","臨床工学技士","臨床工学技士"
"","","","","143","臨床検査技師","143-01","臨床検査技師","衛生検査技師、心電図検査員、超音波検査員（臨床検査）"
"","","","","144","理学療法士","144-01","理学療法士","PT（理学療法士）"
"","","","","145","作業療法士","145-01","作業療法士","OT（作業療法士）"
"","","","","146","視能訓練士、言語聴覚士","146-01","視能訓練士","ORT（視能訓練士）"
"","","","","","","146-02","言語聴覚士","ST（言語聴覚士）"
"","","","","147","歯科衛生士","147-01","歯科衛生士",""
"","","","","148","歯科技工士","148-01","歯科技工士",""
"","","15","その他の保健医療の職業","151","栄養士、管理栄養士","151-01","栄養士","学校栄養士、病院栄養士、福祉施設栄養士"
"","","","","","","151-02","管理栄養士","管理栄養士"
"","","","","152","あん摩マッサージ指圧師、はり師、きゅう師","152-01","あん摩マッサージ指圧師","あん摩師、あん摩マッサージ師、指圧師、マッサージ師"
"","","","","","","152-02","はり師","鍼師"
"","","","","","","152-03","きゅう師","灸師"
"","","","","153","柔道整復師","153-01","柔道整復師","整骨医、接骨医"
"","","","","159","他に分類されない保健医療の職業","159-01","義肢装具士","義肢装具士"
"","","","","","","159-99","他に分類されないその他の保健医療の職業",""
"","","16","社会福祉の専門的職業","161","福祉相談・指導専門員","161-01","福祉相談員","家庭相談員、ケースワーカー（障害者更生相談所）、児童福祉司、障害者福祉司、相談員（児童相談所）、相談員（婦人相談所）、母子自立支援員、面接員（福祉事務所）"
